IP地址,端口,IP段,大洲,国家,城市
139.99.236.163,443,139.99.0.0/16,OC,AU,Sydney
170.64.152.77,7443,170.64.128.0/17,OC,AU,Sydney
130.162.193.183,15401,130.162.192.0/21,OC,AU,Melbourne
209.38.16.180,4002,209.38.0.0/16,OC,AU,Sydney
95.164.62.196,443,95.164.62.0/23,EU,BE,Brussels
34.22.190.30,443,34.16.0.0/12,EU,BE,Brussels
185.82.218.224,443,185.82.216.0/22,EU,BG,Sofia
78.128.127.89,443,78.128.127.0/24,EU,BG,Sofia
193.239.160.25,443,193.239.160.0/23,EU,BG,Sofia
213.183.63.68,36651,213.183.60.0/22,EU,BG,Sofia
185.82.218.224,9443,185.82.216.0/22,EU,BG,Sofia
213.183.63.185,443,213.183.60.0/22,EU,BG,Sofia
193.239.160.24,443,193.239.160.0/23,EU,BG,Sofia
185.82.218.224,8443,185.82.216.0/22,EU,BG,Sofia
213.183.63.71,53811,213.183.60.0/22,EU,BG,Sofia
85.239.55.179,34688,85.239.52.0/22,EU,BG,Sofia
185.216.68.91,443,185.216.68.0/24,EU,BG,N/A
213.183.63.71,57743,213.183.60.0/22,EU,BG,Sofia
45.153.125.245,443,45.153.125.0/24,EU,BG,Sofia
91.215.153.85,443,91.215.152.0/22,EU,BG,Sofia
79.124.7.236,444,79.124.7.0/24,EU,BG,Sofia
85.217.171.231,443,85.217.170.0/23,EU,BG,Sofia
164.152.61.166,50478,164.152.32.0/19,SA,BR,São Paulo
38.180.79.9,443,38.180.72.0/21,SA,BR,São Paulo
168.138.141.235,2053,168.138.0.0/16,SA,BR,São Paulo
38.180.78.255,443,38.180.72.0/21,SA,BR,São Paulo
147.45.116.61,8443,147.45.116.0/24,SA,BR,São Paulo
146.235.59.153,2053,146.235.0.0/18,SA,BR,São Paulo
132.226.163.224,2053,132.226.160.0/19,SA,BR,São Paulo
147.45.116.50,24443,147.45.116.0/24,SA,BR,São Paulo
168.75.92.141,28053,168.75.64.0/19,SA,BR,São Paulo
146.235.59.153,8443,146.235.0.0/18,SA,BR,São Paulo
152.70.214.15,46790,152.70.0.0/16,SA,BR,São Paulo
144.22.144.168,4242,144.22.128.0/17,SA,BR,São Paulo
132.226.163.224,8443,132.226.160.0/19,SA,BR,São Paulo
144.22.204.102,50317,144.22.128.0/17,SA,BR,São Paulo
192.99.252.243,2053,192.99.0.0/16,NA,CA,N/A
3.98.73.243,443,3.96.0.0/11,NA,CA,Montreal
199.48.102.83,443,199.48.100.0/22,NA,CA,Napanee
172.105.11.67,15223,172.105.0.0/17,NA,CA,Toronto
35.183.163.195,80,35.176.0.0/13,NA,CA,Montreal
35.183.163.195,443,35.176.0.0/13,NA,CA,Montreal
192.99.54.60,443,192.99.0.0/16,NA,CA,N/A
172.105.26.112,2443,172.105.0.0/17,NA,CA,Toronto
35.182.7.190,80,35.176.0.0/13,NA,CA,Montreal
35.182.7.190,443,35.176.0.0/13,NA,CA,Montreal
104.234.240.179,2053,104.234.240.0/24,NA,CA,Toronto
69.28.82.253,443,69.28.64.0/19,NA,CA,Toronto
15.157.7.168,443,15.156.0.0/15,NA,CA,Montreal
213.255.209.207,443,213.255.209.0/24,NA,CA,Toronto
217.197.97.207,2053,217.197.97.0/24,NA,CA,Toronto
192.99.252.241,2053,192.99.0.0/16,NA,CA,N/A
51.161.134.202,8443,51.161.0.0/16,NA,CA,N/A
51.222.156.8,8443,51.222.0.0/16,NA,CA,N/A
138.197.152.31,2053,138.197.128.0/18,NA,CA,Toronto
15.157.59.78,8443,15.156.0.0/15,NA,CA,Montreal
172.93.32.131,23077,172.93.32.0/20,NA,CA,Vancouver
192.18.159.164,36545,192.18.128.0/19,NA,CA,Toronto
89.251.9.4,15466,89.251.8.0/23,NA,CA,N/A
64.21.191.164,443,64.21.191.0/24,NA,CA,N/A
198.50.130.116,2053,198.50.128.0/17,NA,CA,N/A
140.238.158.238,8080,140.238.0.0/16,NA,CA,Toronto
140.238.158.238,443,140.238.0.0/16,NA,CA,Toronto
104.234.240.114,2053,104.234.240.0/24,NA,CA,Toronto
137.184.168.222,2053,137.184.0.0/16,NA,CA,Toronto
148.113.204.36,2053,148.113.128.0/17,NA,CA,N/A
3.97.173.206,80,3.96.0.0/11,NA,CA,Montreal
150.230.27.23,16504,150.230.24.0/21,NA,CA,Toronto
104.234.240.179,8443,104.234.240.0/24,NA,CA,Toronto
81.19.140.48,2053,81.19.140.0/23,NA,CA,Ontario
172.98.207.58,443,172.98.206.0/23,NA,CA,Mississauga
217.197.97.207,8443,217.197.97.0/24,NA,CA,Toronto
138.197.152.31,8443,138.197.128.0/18,NA,CA,Toronto
64.15.75.112,2053,64.15.64.0/20,NA,CA,Laval
91.194.11.78,81,91.194.11.0/24,NA,CA,Toronto
213.255.209.189,443,213.255.209.0/24,NA,CA,Toronto
104.234.240.114,8443,104.234.240.0/24,NA,CA,Toronto
137.184.168.222,8443,137.184.0.0/16,NA,CA,Toronto
51.161.134.202,2053,51.161.0.0/16,NA,CA,N/A
51.222.156.8,2053,51.222.0.0/16,NA,CA,N/A
15.157.59.78,2053,15.156.0.0/15,NA,CA,Montreal
192.18.150.121,27620,192.18.128.0/19,NA,CA,Toronto
3.99.106.179,443,3.96.0.0/11,NA,CA,Montreal
148.113.204.36,8443,148.113.128.0/17,NA,CA,N/A
209.200.246.130,443,209.200.246.0/23,NA,CA,Toronto
91.192.102.55,443,91.192.100.0/22,EU,CH,N/A
45.85.93.243,8443,45.85.93.0/24,EU,CH,Geneva
185.195.69.119,2053,185.195.68.0/23,EU,CH,N/A
94.247.42.207,443,94.247.42.0/24,EU,CH,N/A
91.192.102.170,8443,91.192.100.0/22,EU,CH,N/A
45.85.93.49,443,45.85.93.0/24,EU,CH,Geneva
91.90.193.24,443,91.90.193.0/24,EU,CH,Geneva
91.245.225.69,443,91.245.224.0/23,EU,CH,Zurich
176.10.125.114,443,176.10.96.0/19,EU,CH,Hünenberg
38.180.85.203,443,38.180.84.0/23,EU,CH,Bern
45.95.232.18,8443,45.95.232.0/23,EU,CH,Zurich
91.245.225.79,2053,91.245.224.0/23,EU,CH,Zurich
45.95.232.18,2053,45.95.232.0/23,EU,CH,Zurich
45.95.232.243,8443,45.95.232.0/23,EU,CH,Zurich
45.95.232.209,8443,45.95.232.0/23,EU,CH,Zurich
194.87.97.6,2053,194.87.96.0/23,EU,CH,Zurich
144.24.248.38,587,144.24.0.0/16,EU,CH,Zurich
185.195.69.200,2053,185.195.68.0/23,EU,CH,N/A
194.87.18.92,443,194.87.18.0/24,EU,CH,Geneva
179.43.144.10,8000,179.43.128.0/18,EU,CH,Rümlang
179.43.176.163,10443,179.43.128.0/18,EU,CH,Rümlang
45.95.232.236,2053,45.95.232.0/23,EU,CH,Zurich
45.95.232.203,2053,45.95.232.0/23,EU,CH,Zurich
94.131.3.123,8443,94.131.2.0/23,EU,CH,Bern
91.245.224.37,2053,91.245.224.0/23,EU,CH,Zurich
95.183.51.10,2053,95.183.48.0/20,EU,CH,N/A
45.85.93.59,443,45.85.93.0/24,EU,CH,Geneva
140.238.212.95,443,140.238.0.0/16,EU,CH,Zurich
45.85.93.96,443,45.85.93.0/24,EU,CH,Geneva
185.195.69.119,8443,185.195.68.0/23,EU,CH,N/A
179.43.190.20,2053,179.43.128.0/18,EU,CH,Rümlang
94.131.12.56,443,94.131.12.0/23,EU,CH,Bern
38.180.15.45,443,38.180.15.0/24,EU,CH,Bern
179.43.176.163,443,179.43.128.0/18,EU,CH,Rümlang
179.43.156.21,8443,179.43.128.0/18,EU,CH,Rümlang
91.192.102.92,443,91.192.100.0/22,EU,CH,N/A
45.85.93.83,443,45.85.93.0/24,EU,CH,Geneva
91.245.225.79,8443,91.245.224.0/23,EU,CH,Zurich
45.95.232.115,2053,45.95.232.0/23,EU,CH,Zurich
194.87.97.6,8443,194.87.96.0/23,EU,CH,Zurich
179.43.166.2,443,179.43.128.0/18,EU,CH,Rümlang
45.85.93.243,2053,45.85.93.0/24,EU,CH,Geneva
194.135.22.181,443,194.135.22.0/24,EU,CH,Zurich
185.195.69.200,8443,185.195.68.0/23,EU,CH,N/A
91.192.102.170,2053,91.192.100.0/22,EU,CH,N/A
83.173.198.77,8443,83.173.192.0/18,EU,CH,Zurich
45.95.232.220,2083,45.95.232.0/23,EU,CH,Zurich
45.90.58.58,81,45.90.56.0/22,EU,CH,Geneva
185.195.69.209,2053,185.195.68.0/23,EU,CH,N/A
45.95.232.203,8443,45.95.232.0/23,EU,CH,Zurich
45.95.232.243,2053,45.95.232.0/23,EU,CH,Zurich
91.245.224.37,8443,91.245.224.0/23,EU,CH,Zurich
45.95.232.209,2053,45.95.232.0/23,EU,CH,Zurich
45.95.232.232,8443,45.95.232.0/23,EU,CH,Zurich
95.183.51.10,8443,95.183.48.0/20,EU,CH,N/A
